,Country Name,Country Occurance
0,united states of america,6266
1,united kingdom,872
2,south africa,21
3,mexico,38
4,south korea,264
5,france,446
6,yugoslavia,6
7,germany,422
8,ireland,57
9,hong kong,69
10,china,42
11,italy,135
12,spain,90
13,japan,188
14,australia,158
15,poland,10
16,canada,301
17,venezuela,1
18,vietnam,2
19,new zealand,62
20,norway,11
21,india,36
22,netherlands,29
23,austria,13
24,denmark,22
25,sweden,24
26,romania,9
27,slovakia,3
28,hungary,14
29,czech republic,28
30,switzerland,15
31,lebanon,2
32,turkey,28
33,russia,21
34,argentina,22
35,korea,5
36,jamaica,1
37,uruguay,2
38,belgium,33
39,west germany,16
40,brazil,11
41,malta,1
42,taiwan,6
43,singapore,3
44,iceland,8
45,serbia and montenegro,1
46,bulgaria,4
47,serbia,5
48,bosnia and herzegovina,2
49,kingdom of great britain,5
50,iran,7
51,weimar republic,1
52,morocco,5
53,israel,16
54,qatar,1
55,tunisia,3
56,philippines,2
57,kuwait,2
58,united arab emirates,8
59,egypt,1
60,thailand,8
61,england,17
62,mongolia,2
63,finland,10
64,scotland,6
65,luxembourg,20
66,malaysia,2
67,indonesia,2
68,panama,1
69,algeria,1
70,greece,3
71,isle of man,1
72,peru,1
73,socialist federal republic of yugoslavia,1
74,colombia,2
75,ukraine,1
76,croatia,1
77,soviet union,1
78,lithuania,1
79,zimbabwe,2
80,bahamas,1
81,pakistan,1
82,portugal,3
83,afghanistan,1
84,kenya,1
85,puerto rico,2
86,slovak republic,1
87,libya,1
