"thriller","thriller"
"science fiction","science fiction"
"horror","horror"
"adventure","adventure"
"supernatural","supernatural"
"action","action"
"space western","space western"
"costume drama","costume drama"
"war film","war film"
"epic","epic"
"period piece","period piece"
"drama","drama"
"film adaptation","film adaptation"
"children's/family","children's/family"
"musical","musical"
"fantasy","fantasy"
"comedy","comedy"
"family film","family film"
"children's fantasy","children's fantasy"
"crime fiction","crime fiction"
"coming of age","coming of age"
"action/adventure","action/adventure"
"indie","indie"
"world cinema","world cinema"
"cult","cult"
"adventure comedy","adventure comedy"
"slapstick","slapstick"
"sports","sports"
"family drama","family drama"
"comedy-drama","comedy-drama"
"ensemble film","ensemble film"
"romantic comedy","romantic comedy"
"romance film","romance film"
"mystery","mystery"
"crime thriller","crime thriller"
"satire","satire"
"legal drama","legal drama"
"courtroom drama","courtroom drama"
"new hollywood","new hollywood"
"suspense","suspense"
"romantic drama","romantic drama"
"biography","biography"
"biopic [feature]","biopic [feature]"
"biographical film","biographical film"
"musical drama","musical drama"
"crime comedy","crime comedy"
"gangster film","gangster film"
"monster movie","monster movie"
"natural horror films","natural horror films"
"b-movie","b-movie"
"creature film","creature film"
"slasher","slasher"
"music","music"
"comedy of errors","comedy of errors"
"americana","americana"
"lgbt","lgbt"
"teen","teen"
"escape film","escape film"
"prison","prison"
"superhero movie","superhero movie"
"wuxia","wuxia"
"fantasy adventure","fantasy adventure"
"martial arts film","martial arts film"
"chinese movies","chinese movies"
"tragedy","tragedy"
"buddy film","buddy film"
"sword and sorcery","sword and sorcery"
"parody","parody"
"gross-out film","gross-out film"
"gross out","gross out"
"horror comedy","horror comedy"
"screwball comedy","screwball comedy"
"black-and-white","black-and-white"
"gay","gay"
"gay interest","gay interest"
"gay themed","gay themed"
"black comedy","black comedy"
"film à clef","film à clef"
"feminist film","feminist film"
"disaster","disaster"
"natural disaster","natural disaster"
"comedy of manners","comedy of manners"
"historical fiction","historical fiction"
"political drama","political drama"
"remake","remake"
"family-oriented adventure","family-oriented adventure"
"western","western"
"japanese movies","japanese movies"
"computer animation","computer animation"
"animation","animation"
"comedy film","comedy film"
"roadshow theatrical release","roadshow theatrical release"
"sex comedy","sex comedy"
"road movie","road movie"
"action comedy","action comedy"
"auto racing","auto racing"
"heist","heist"
"pre-code","pre-code"
"melodrama","melodrama"
"film noir","film noir"
"experimental film","experimental film"
"surrealism","surrealism"
"psychological thriller","psychological thriller"
"avant-garde","avant-garde"
"fantasy comedy","fantasy comedy"
"romantic fantasy","romantic fantasy"
"religious film","religious film"
"absurdism","absurdism"
"political cinema","political cinema"
"domestic comedy","domestic comedy"
"combat films","combat films"
"slice of life story","slice of life story"
"animated musical","animated musical"
"political thriller","political thriller"
"spy","spy"
"holiday film","holiday film"
"space opera","space opera"
"dystopia","dystopia"
"erotic thriller","erotic thriller"
"erotica","erotica"
"comedy western","comedy western"
"action thrillers","action thrillers"
"chase movie","chase movie"
"children's","children's"
"art film","art film"
"existentialism","existentialism"
"future noir","future noir"
"doomsday film","doomsday film"
"apocalyptic and post-apocalyptic fiction","apocalyptic and post-apocalyptic fiction"
"time travel","time travel"
"airplanes and airports","airplanes and airports"
"history","history"
"animal picture","animal picture"
"stop motion","stop motion"
"adult","adult"
"mockumentary","mockumentary"
"culture & society","culture & society"
"documentary","documentary"
"jungle film","jungle film"
"dance","dance"
"crime drama","crime drama"
"libraries and librarians","libraries and librarians"
"workplace comedy","workplace comedy"
"demonic child","demonic child"
"inspirational drama","inspirational drama"
"docudrama","docudrama"
"glamorized spy film","glamorized spy film"
"silent film","silent film"
"political satire","political satire"
"media satire","media satire"
"christian film","christian film"
"zombie film","zombie film"
"sword and sorcery films","sword and sorcery films"
"addiction drama","addiction drama"
"b-western","b-western"
"caper story","caper story"
"animated cartoon","animated cartoon"
"musical comedy","musical comedy"
"blaxploitation","blaxploitation"
"haunted house film","haunted house film"
"alien film","alien film"
"hybrid western","hybrid western"
"historical drama","historical drama"
"heavenly comedy","heavenly comedy"
"short film","short film"
"christmas movie","christmas movie"
"detective fiction","detective fiction"
"detective","detective"
"comedy thriller","comedy thriller"
"medical fiction","medical fiction"
"historical epic","historical epic"
"sexploitation","sexploitation"
"revisionist western","revisionist western"
"epic western","epic western"
"star vehicle","star vehicle"
"marriage drama","marriage drama"
"anime","anime"
"sword and sandal","sword and sandal"
"sci-fi adventure","sci-fi adventure"
"boxing","boxing"
"hip hop movies","hip hop movies"
"superhero","superhero"
"heaven-can-wait fantasies","heaven-can-wait fantasies"
"women in prison films","women in prison films"
"hardcore pornography","hardcore pornography"
"pornographic movie","pornographic movie"
"sci-fi horror","sci-fi horror"
"monster","monster"
"crime","crime"
"master criminal films","master criminal films"
"jukebox musical","jukebox musical"
"anti-war","anti-war"
"british empire film","british empire film"
"anti-war film","anti-war film"
"road-horror","road-horror"
"neo-noir","neo-noir"
"backstage musical","backstage musical"
"movies about gladiators","movies about gladiators"
"biker film","biker film"
"horse racing","horse racing"
"stoner film","stoner film"
"rockumentary","rockumentary"
"instrumental music","instrumental music"
"social problem film","social problem film"
"filipino movies","filipino movies"
"fairy tale","fairy tale"
"costume adventure","costume adventure"
"spaghetti western","spaghetti western"
"tamil cinema","tamil cinema"
"television movie","television movie"
"childhood drama","childhood drama"
"live action","live action"
"comdedy","comdedy"
"law & crime","law & crime"
"werewolf fiction","werewolf fiction"
"bloopers & candid camera","bloopers & candid camera"
"graphic & applied arts","graphic & applied arts"
"gothic film","gothic film"
"whodunit","whodunit"
"psychological horror","psychological horror"
"tragicomedy","tragicomedy"
"mumblecore","mumblecore"
"steampunk","steampunk"
"baseball","baseball"
"animals","animals"
"albino bias","albino bias"
"buddy cop","buddy cop"
"filmed play","filmed play"
"plague","plague"
"propaganda film","propaganda film"
"softcore porn","softcore porn"
"costume horror","costume horror"
"sci-fi thriller","sci-fi thriller"
"courtroom comedy","courtroom comedy"
"extreme sports","extreme sports"
"mythological fantasy","mythological fantasy"
"indian western","indian western"
"cyberpunk","cyberpunk"
"coming-of-age film","coming-of-age film"
"historical documentaries","historical documentaries"
"swashbuckler films","swashbuckler films"
"feature film","feature film"
"splatter film","splatter film"
"erotic drama","erotic drama"
"fantasy drama","fantasy drama"
"travel","travel"
"breakdance","breakdance"
"bollywood","bollywood"
"archaeology","archaeology"
"reboot","reboot"
"camp","camp"
"humour","humour"
"school story","school story"
"nature","nature"
"clay animation","clay animation"
"gulf war","gulf war"
"beach film","beach film"
"outlaw","outlaw"
"outlaw biker film","outlaw biker film"
"prison film","prison film"
"gender issues","gender issues"
"hagiography","hagiography"
"environmental science","environmental science"
"kafkaesque","kafkaesque"
"comedy horror","comedy horror"
"juvenile delinquency film","juvenile delinquency film"
"vampire movies","vampire movies"
"northern","northern"
"archives and records","archives and records"
"punk rock","punk rock"
"social issues","social issues"
"therimin music","therimin music"
"concert film","concert film"
"cold war","cold war"
"psycho-biddy","psycho-biddy"
"kitchen sink realism","kitchen sink realism"
"educational","educational"
"point of view shot","point of view shot"
"dogme 95","dogme 95"
"science fiction western","science fiction western"
"acid western","acid western"
"parkour in popular culture","parkour in popular culture"
"anthology","anthology"
"news","news"
"stand-up comedy","stand-up comedy"
"cavalry film","cavalry film"
"private military company","private military company"
"ninja movie","ninja movie"
"journalism","journalism"
"world history","world history"
"fictional film","fictional film"
"female buddy film","female buddy film"
"film","film"
"samurai cinema","samurai cinema"
"business","business"
"finance & investing","finance & investing"
"film & television history","film & television history"
"alien invasion","alien invasion"
"british new wave","british new wave"
"gay pornography","gay pornography"
"supermarionation","supermarionation"
"essay film","essay film"
"period horror","period horror"
"the netherlands in world war ii","the netherlands in world war ii"
"revisionist fairy tale","revisionist fairy tale"
"goat gland","goat gland"
