,0
0,Ghosts of Mars
1,Henry V
2,Mary Poppins
3,Baby Boy
4,The Gods Must Be Crazy
5,Rudo y Cursi
6,Kinjite: Forbidden Subjects
7,The Great New Wonderful
8,Loverboy
9,The Little Hut
10,The Boston Strangler
11,Lee Dae-ro Can't Die
12,...And Justice for All
13,The Naked Kitchen
14,Star!
15,Beachhead
16,Things to Do in Denver When You're Dead
17,Convoy
18,C.H.U.D.
19,"Black Cat, White Cat"
20,The Astronaut Farmer
21,Straw Dogs
22,"Spring, Summer, Fall, Winter... and Spring"
23,Grease
24,Becoming Jane
25,Midnight Express
26,RoboCop 3
27,The Forbidden Kingdom
28,Superman
29,Trial and Error
30,Necessary Roughness
31,Sweeney Todd: The Demon Barber of Fleet Street
32,Chaplin
33,Nothing to Lose
34,Friday the 13th: The Final Chapter
35,I'm Losing You
36,Beastmaster 2: Through the Portal of Time
37,Over the Rainbow
38,National Lampoon's Class Reunion
39,Nell
40,Monkey Business
41,Someone to Watch Over Me
42,I Could Never Be Your Woman
43,9 Dead Gay Guys
44,Cyrano Agency
45,Perrier's Bounty
46,Grace of My Heart
47,Puccini for Beginners
48,Just Wright
49,Bless the Child
50,The Program
51,San Francisco
52,The Comebacks
53,Stage Beauty
54,Jefferson in Paris
55,The Way
56,The Iron Lady
57,Next
58,Go Fish
59,The Contract
60,Clash of the Titans
61,G.I. Jane
62,Snow Falling on Cedars
63,Chitty Chitty Bang Bang
64,The Redhead from Wyoming
65,Harlow
66,26 Years Diary
67,Track 29
68,Open Season 3
69,And God Created Woman
70,"Jeff, Who Lives at Home"
71,A Single Man
72,Hostel 2
73,Bangkok Dangerous
74,Cinderella
75,The Last Song
76,Petersen
77,My Fair Lady
78,The House of Yes
79,The Sure Thing
80,Big Bad Mama
81,Life is Cool
82,House of Cards
83,Looper
84,Stroker Ace
85,Crossover
86,For Love of the Game
87,Halloween Resurrection
88,The Way to the Gold
89,The Badlanders
90,The Beast of the City
91,Three Violent People
92,Inland Empire
93,Death to Smoochy
94,Fixed Bayonets!
95,Chances Are
96,Universal Soldier: The Return
97,3 Strikes
98,Brain Donors
99,The Adventures of Buckaroo Banzai Across the 8th Dimension
100,Dylan Dog: Dead of Night
101,Welcome to Mooseport
102,Vice Versa
103,The Killing Fields
104,The Seven Little Foys
105,Down and Out in Beverly Hills
106,Inkheart
107,Gung Ho!
108,Fire with Fire
109,Tortilla Soup
110,K2
